Período;ARS;Nº Consultas nos CSP;Nº Consultas CSP (Não Programadas);Nº Consultas CSP (Programadas);Nº Consultas Med CSP (Não Programadas e >= 65)
2017-01-24;ARS Centro;25604.0;14480.0;11124.0;6141.0
2017-01-24;ARS Lisboa e Vale do Tejo;32669.0;13734.0;18935.0;5469.0
2017-01-24;ARS Alentejo;8562.0;4558.0;4004.0;2036.0
2017-01-25;ARS Norte;54042.0;27662.0;26380.0;9662.0
2017-01-25;ARS Alentejo;8346.0;4553.0;3793.0;2100.0
2017-01-27;ARS Norte;44034.0;23212.0;20822.0;7898.0
2017-01-27;ARS Centro;17494.0;10439.0;7055.0;4299.0
2017-01-28;ARS Alentejo;918.0;847.0;71.0;219.0
2017-01-29;ARS Alentejo;841.0;795.0;46.0;197.0
2017-01-29;ARS Algarve;334.0;244.0;90.0;40.0
2017-01-31;ARS Algarve;4966.0;2551.0;2415.0;1042.0
2017-02-02;ARS Lisboa e Vale do Tejo;30037.0;12081.0;17956.0;4438.0
2017-02-04;ARS Alentejo;896.0;832.0;64.0;205.0
2017-02-05;ARS Centro;1929.0;1929.0;0.0;549.0
2017-02-05;ARS Algarve;330.0;320.0;10.0;75.0
2017-02-07;ARS Alentejo;8866.0;4557.0;4309.0;1991.0
2017-02-09;ARS Norte;50653.0;25247.0;25406.0;8829.0
2017-02-10;ARS Centro;17264.0;10084.0;7180.0;4094.0
2017-02-10;ARS Algarve;3512.0;1774.0;1738.0;710.0
2017-02-11;ARS Alentejo;852.0;757.0;95.0;222.0
2017-02-12;ARS Lisboa e Vale do Tejo;1572.0;1567.0;5.0;315.0
2017-02-12;ARS Alentejo;709.0;641.0;68.0;150.0
2017-02-13;ARS Centro;27866.0;16044.0;11822.0;6794.0
2017-02-13;ARS Alentejo;9132.0;5155.0;3977.0;2313.0
2017-02-14;ARS Norte;56717.0;28585.0;28132.0;10470.0
2017-02-14;ARS Centro;24530.0;13438.0;11092.0;5854.0
2017-02-16;ARS Norte;49724.0;25049.0;24675.0;8909.0
2017-02-16;ARS Algarve;3790.0;1948.0;1842.0;816.0
2017-02-17;ARS Alentejo;5871.0;3164.0;2707.0;1372.0
2017-02-18;ARS Centro;2077.0;1977.0;100.0;588.0
2017-02-19;ARS Algarve;284.0;177.0;107.0;43.0
2017-02-20;ARS Centro;26809.0;15213.0;11596.0;6505.0
2017-02-21;ARS Norte;58146.0;29392.0;28754.0;10656.0
2017-02-21;ARS Centro;24810.0;13405.0;11405.0;5640.0
2017-02-21;ARS Lisboa e Vale do Tejo;33210.0;13438.0;19772.0;5326.0
2017-02-22;ARS Norte;52834.0;26574.0;26260.0;9416.0
2017-02-22;ARS Alentejo;8307.0;4369.0;3938.0;1930.0
2017-02-23;ARS Lisboa e Vale do Tejo;30509.0;12017.0;18492.0;4754.0
2017-02-24;ARS Alentejo;5759.0;2916.0;2843.0;1244.0
2017-02-24;ARS Algarve;3953.0;1936.0;2017.0;827.0
2017-02-27;ARS Alentejo;6814.0;3805.0;3009.0;1651.0
2017-02-28;ARS Alentejo;963.0;869.0;94.0;274.0
2017-02-28;ARS Algarve;273.0;248.0;25.0;49.0
2017-03-01;ARS Centro;24409.0;14196.0;10213.0;5969.0
2017-03-02;ARS Alentejo;8595.0;4664.0;3931.0;1996.0
2017-03-03;ARS Lisboa e Vale do Tejo;25777.0;10748.0;15029.0;3957.0
2017-03-05;ARS Centro;1870.0;1870.0;0.0;483.0
2017-03-06;ARS Alentejo;9659.0;5366.0;4293.0;2409.0
2017-03-07;ARS Norte;59562.0;30529.0;29033.0;11311.0
